[Qwen3.5-4B-Instruct | CaseHOLD | thinking=false] RAM=2.77 GB | total_time=856.8s | queries=500 | per_query=1.71s | accuracy=65.20% | failures=0
[Qwen3.5-4B-Instruct | MedMCQA | thinking=false] RAM=2.77 GB | total_time=303.0s | queries=500 | per_query=0.61s | accuracy=66.80% | failures=0
[Qwen3.5-4B-Instruct | MedQA | thinking=false] RAM=2.77 GB | total_time=495.2s | queries=500 | per_query=0.99s | accuracy=69.40% | failures=0
[Qwen3.5-4B-Instruct | ProfessionalLaw | thinking=false] RAM=2.77 GB | total_time=566.6s | queries=500 | per_query=1.13s | accuracy=53.80% | failures=0
[Qwen3-8B-MLX-4bit | CaseHOLD | thinking=false] RAM=3.98 GB | total_time=1500.7s | queries=500 | per_query=3.00s | accuracy=63.60% | failures=0
[Qwen3-8B-MLX-4bit | MedMCQA | thinking=false] RAM=3.98 GB | total_time=427.0s | queries=500 | per_query=0.85s | accuracy=65.20% | failures=1
[Qwen3-8B-MLX-4bit | MedQA | thinking=false] RAM=3.98 GB | total_time=776.2s | queries=500 | per_query=1.55s | accuracy=62.20% | failures=0
[Qwen3-8B-MLX-4bit | ProfessionalLaw | thinking=false] RAM=3.98 GB | total_time=872.7s | queries=500 | per_query=1.75s | accuracy=49.20% | failures=0
[Gemma-4-E4B-it | CaseHOLD | thinking=false] RAM=3.98 GB | total_time=498.2s | queries=500 | per_query=1.00s | accuracy=55.60% | failures=0
[Gemma-4-E4B-it | MedMCQA | thinking=false] RAM=3.98 GB | total_time=164.6s | queries=500 | per_query=0.33s | accuracy=59.00% | failures=0
[Gemma-4-E4B-it | MedQA | thinking=false] RAM=3.98 GB | total_time=280.9s | queries=500 | per_query=0.56s | accuracy=55.80% | failures=0
[Gemma-4-E4B-it | ProfessionalLaw | thinking=false] RAM=3.98 GB | total_time=319.4s | queries=500 | per_query=0.64s | accuracy=46.80% | failures=0
[Gemma-3-4B-it | CaseHOLD | thinking=na] RAM=3.98 GB | total_time=667.4s | queries=500 | per_query=1.33s | accuracy=59.60% | failures=0
[Gemma-3-4B-it | MedMCQA | thinking=na] RAM=3.98 GB | total_time=199.7s | queries=500 | per_query=0.40s | accuracy=47.20% | failures=0
[Gemma-3-4B-it | MedQA | thinking=na] RAM=3.98 GB | total_time=365.0s | queries=500 | per_query=0.73s | accuracy=44.20% | failures=0
[Gemma-3-4B-it | ProfessionalLaw | thinking=na] RAM=3.98 GB | total_time=419.7s | queries=500 | per_query=0.84s | accuracy=40.60% | failures=0
[Llama-3.2-3B-Instruct | CaseHOLD | thinking=na] RAM=3.98 GB | total_time=457.5s | queries=500 | per_query=0.92s | accuracy=54.20% | failures=0
[Llama-3.2-3B-Instruct | MedMCQA | thinking=na] RAM=3.98 GB | total_time=174.9s | queries=500 | per_query=0.35s | accuracy=64.80% | failures=0
[Llama-3.2-3B-Instruct | MedQA | thinking=na] RAM=3.98 GB | total_time=270.7s | queries=500 | per_query=0.54s | accuracy=63.00% | failures=1
[Llama-3.2-3B-Instruct | ProfessionalLaw | thinking=na] RAM=3.98 GB | total_time=303.1s | queries=500 | per_query=0.61s | accuracy=42.00% | failures=4
[Llama-3.1-8B-Instruct | CaseHOLD | thinking=na] RAM=5.27 GB | total_time=1072.8s | queries=500 | per_query=2.15s | accuracy=60.60% | failures=0
[Llama-3.1-8B-Instruct | MedMCQA | thinking=na] RAM=5.27 GB | total_time=377.1s | queries=500 | per_query=0.75s | accuracy=72.80% | failures=0
[Llama-3.1-8B-Instruct | MedQA | thinking=na] RAM=5.27 GB | total_time=636.2s | queries=500 | per_query=1.27s | accuracy=69.00% | failures=0
[Llama-3.1-8B-Instruct | ProfessionalLaw | thinking=na] RAM=5.27 GB | total_time=710.5s | queries=500 | per_query=1.42s | accuracy=48.60% | failures=0
[Phi-4-mini-instruct | CaseHOLD | thinking=na] RAM=5.27 GB | total_time=530.7s | queries=500 | per_query=1.06s | accuracy=48.00% | failures=0
[Phi-4-mini-instruct | MedMCQA | thinking=na] RAM=5.27 GB | total_time=190.2s | queries=500 | per_query=0.38s | accuracy=51.20% | failures=2
[Phi-4-mini-instruct | MedQA | thinking=na] RAM=5.27 GB | total_time=300.2s | queries=500 | per_query=0.60s | accuracy=47.80% | failures=0
[Phi-4-mini-instruct | ProfessionalLaw | thinking=na] RAM=5.27 GB | total_time=334.7s | queries=500 | per_query=0.67s | accuracy=44.00% | failures=1
[Phi-3.5-mini-instruct | CaseHOLD | thinking=na] RAM=5.27 GB | total_time=707.6s | queries=500 | per_query=1.42s | accuracy=56.40% | failures=2
[Phi-3.5-mini-instruct | MedMCQA | thinking=na] RAM=5.27 GB | total_time=245.0s | queries=500 | per_query=0.49s | accuracy=55.20% | failures=0
[Phi-3.5-mini-instruct | MedQA | thinking=na] RAM=5.27 GB | total_time=407.0s | queries=500 | per_query=0.81s | accuracy=52.60% | failures=0
[Phi-3.5-mini-instruct | ProfessionalLaw | thinking=na] RAM=5.27 GB | total_time=425.3s | queries=500 | per_query=0.85s | accuracy=46.00% | failures=0
[Qwen3.5-4B-Instruct | CaseHOLD | thinking=true] RAM=5.27 GB | total_time=9453.3s | queries=500 | per_query=18.91s | accuracy=47.60% | failures=0
[Qwen3.5-4B-Instruct | MedMCQA | thinking=true] RAM=5.27 GB | total_time=6869.3s | queries=500 | per_query=13.74s | accuracy=66.40% | failures=0
[Qwen3.5-4B-Instruct | MedQA | thinking=true] RAM=5.27 GB | total_time=8597.3s | queries=500 | per_query=17.19s | accuracy=57.40% | failures=0
[Qwen3.5-4B-Instruct | ProfessionalLaw | thinking=true] RAM=5.27 GB | total_time=8965.0s | queries=500 | per_query=17.93s | accuracy=37.40% | failures=0
[Qwen3-8B-MLX-4bit | CaseHOLD | thinking=true] RAM=5.27 GB | total_time=6502.4s | queries=500 | per_query=13.00s | accuracy=65.00% | failures=0
